Key,File,Type,UsedInMainMenu,NoTranslate,english,german,latam,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
vtt_response_open,dialogs,Dialog,,,Travel to a visited trader,Travel to a visited trader,Travel to a visited trader,Travel to a visited trader,Travel to a visited trader,Travel to a visited trader,訪問済みトレーダーへ移動,Travel to a visited trader,Travel to a visited trader,Travel to a visited trader,Travel to a visited trader,Travel to a visited trader,Travel to a visited trader,Travel to a visited trader
vtt_statement_destinations,dialogs,Dialog,,,Choose a trader destination.,Choose a trader destination.,Choose a trader destination.,Choose a trader destination.,Choose a trader destination.,Choose a trader destination.,移動先のトレーダーを選択してください。,Choose a trader destination.,Choose a trader destination.,Choose a trader destination.,Choose a trader destination.,Choose a trader destination.,Choose a trader destination.,Choose a trader destination.
vtt_preparing_travel,dialogs,Tooltip,,,Preparing travel...,Preparing travel...,Preparing travel...,Preparing travel...,Preparing travel...,Preparing travel...,移動の準備中...,Preparing travel...,Preparing travel...,Preparing travel...,Preparing travel...,Preparing travel...,Preparing travel...,Preparing travel...
vtt_destination_not_ready,dialogs,Tooltip,,,Destination is not ready yet. Try again later.,Destination is not ready yet. Try again later.,Destination is not ready yet. Try again later.,Destination is not ready yet. Try again later.,Destination is not ready yet. Try again later.,Destination is not ready yet. Try again later.,移動先の準備が完了していません。少し待ってから再試行してください。,Destination is not ready yet. Try again later.,Destination is not ready yet. Try again later.,Destination is not ready yet. Try again later.,Destination is not ready yet. Try again later.,Destination is not ready yet. Try again later.,Destination is not ready yet. Try again later.,Destination is not ready yet. Try again later.
vtt_transport_departure,dialogs,Tooltip,,,Your ride is on the way...,Your ride is on the way...,Your ride is on the way...,Your ride is on the way...,Your ride is on the way...,Your ride is on the way...,送迎車が向かっています...,Your ride is on the way...,Your ride is on the way...,Your ride is on the way...,Your ride is on the way...,Your ride is on the way...,Your ride is on the way...,Your ride is on the way...
vtt_transport_departure_paid,dialogs,Tooltip,,,Paid {0} {1}. Your ride is on the way...,Paid {0} {1}. Your ride is on the way...,Paid {0} {1}. Your ride is on the way...,Paid {0} {1}. Your ride is on the way...,Paid {0} {1}. Your ride is on the way...,Paid {0} {1}. Your ride is on the way...,{1}を{0}支払いました。送迎車が向かっています...,Paid {0} {1}. Your ride is on the way...,Paid {0} {1}. Your ride is on the way...,Paid {0} {1}. Your ride is on the way...,Paid {0} {1}. Your ride is on the way...,Paid {0} {1}. Your ride is on the way...,Paid {0} {1}. Your ride is on the way...,Paid {0} {1}. Your ride is on the way...
vtt_transport_arrival,dialogs,Tooltip,,,Hope you enjoyed the ride to {0}.,Hope you enjoyed the ride to {0}.,Hope you enjoyed the ride to {0}.,Hope you enjoyed the ride to {0}.,Hope you enjoyed the ride to {0}.,Hope you enjoyed the ride to {0}.,{0}に到着しました。ご乗車ありがとうございました。,Hope you enjoyed the ride to {0}.,Hope you enjoyed the ride to {0}.,Hope you enjoyed the ride to {0}.,Hope you enjoyed the ride to {0}.,Hope you enjoyed the ride to {0}.,Hope you enjoyed the ride to {0}.,Hope you enjoyed the ride to {0}.
vtt_not_enough_travel_cost,dialogs,Tooltip,,,Travel costs {0} {1}. You have {2}.,Travel costs {0} {1}. You have {2}.,Travel costs {0} {1}. You have {2}.,Travel costs {0} {1}. You have {2}.,Travel costs {0} {1}. You have {2}.,Travel costs {0} {1}. You have {2}.,移動には{1}が{0}必要です。現在の所持数: {2},Travel costs {0} {1}. You have {2}.,Travel costs {0} {1}. You have {2}.,Travel costs {0} {1}. You have {2}.,Travel costs {0} {1}. You have {2}.,Travel costs {0} {1}. You have {2}.,Travel costs {0} {1}. You have {2}.,Travel costs {0} {1}. You have {2}.
vtt_travel_cost_unavailable,dialogs,Tooltip,,,Travel cost item is not available. Check the mod config.,Travel cost item is not available. Check the mod config.,Travel cost item is not available. Check the mod config.,Travel cost item is not available. Check the mod config.,Travel cost item is not available. Check the mod config.,Travel cost item is not available. Check the mod config.,移動コスト用アイテムが見つかりません。MOD設定を確認してください。,Travel cost item is not available. Check the mod config.,Travel cost item is not available. Check the mod config.,Travel cost item is not available. Check the mod config.,Travel cost item is not available. Check the mod config.,Travel cost item is not available. Check the mod config.,Travel cost item is not available. Check the mod config.,Travel cost item is not available. Check the mod config.
vtt_teleported_to,dialogs,Tooltip,,,Teleported to {0},Teleported to {0},Teleported to {0},Teleported to {0},Teleported to {0},Teleported to {0},{0}へ移動しました,Teleported to {0},Teleported to {0},Teleported to {0},Teleported to {0},Teleported to {0},Teleported to {0},Teleported to {0}
vtt_mode_line,dialogs,Dialog,,,Current mode: {0} - {1},Current mode: {0} - {1},Current mode: {0} - {1},Current mode: {0} - {1},Current mode: {0} - {1},Current mode: {0} - {1},現在のモード: {0} - {1},Current mode: {0} - {1},Current mode: {0} - {1},Current mode: {0} - {1},Current mode: {0} - {1},Current mode: {0} - {1},Current mode: {0} - {1},Current mode: {0} - {1}
vtt_mode_personal_name,dialogs,Dialog,,,Personal,Personal,Personal,Personal,Personal,Personal,パーソナル,Personal,Personal,Personal,Personal,Personal,Personal,Personal
vtt_mode_party_name,dialogs,Dialog,,,Party,Party,Party,Party,Party,Party,パーティ,Party,Party,Party,Party,Party,Party,Party
vtt_mode_shared_name,dialogs,Dialog,,,Shared,Shared,Shared,Shared,Shared,Shared,共有,Shared,Shared,Shared,Shared,Shared,Shared,Shared
vtt_mode_personal_description,dialogs,Dialog,,,only traders you have visited,only traders you have visited,only traders you have visited,only traders you have visited,only traders you have visited,only traders you have visited,自分が訪問したトレーダーのみ,only traders you have visited,only traders you have visited,only traders you have visited,only traders you have visited,only traders you have visited,only traders you have visited,only traders you have visited
vtt_mode_party_description,dialogs,Dialog,,,shared with current party members,shared with current party members,shared with current party members,shared with current party members,shared with current party members,shared with current party members,現在のパーティメンバーと共有,shared with current party members,shared with current party members,shared with current party members,shared with current party members,shared with current party members,shared with current party members,shared with current party members
vtt_mode_shared_description,dialogs,Dialog,,,shared with everyone on this server,shared with everyone on this server,shared with everyone on this server,shared with everyone on this server,shared with everyone on this server,shared with everyone on this server,サーバー全員で共有,shared with everyone on this server,shared with everyone on this server,shared with everyone on this server,shared with everyone on this server,shared with everyone on this server,shared with everyone on this server,shared with everyone on this server
vtt_no_destinations,dialogs,Dialog,,,No destinations are available in the current mode.,No destinations are available in the current mode.,No destinations are available in the current mode.,No destinations are available in the current mode.,No destinations are available in the current mode.,No destinations are available in the current mode.,現在のモードで利用できる移動先がありません。,No destinations are available in the current mode.,No destinations are available in the current mode.,No destinations are available in the current mode.,No destinations are available in the current mode.,No destinations are available in the current mode.,No destinations are available in the current mode.,No destinations are available in the current mode.
vtt_destination_response,dialogs,Dialog,,,{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1}{2}（{3}）,{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3})
